C,0.318182,0.120948,0.000000,2.000000,0.000000,2.377358,4.000000
C,0.960000,0.098915,1.000000,4.000000,0.238710,1.453172,2.000000
C,0.722222,0.106046,0.000000,2.000000,0.000000,2.000000,4.000000
C,0.794872,0.103320,0.000000,2.000000,0.000000,2.173913,5.000000
C,1.238095,0.087841,0.000000,6.000000,0.000000,1.924324,8.000000
C,0.533333,0.179215,0.000000,2.000000,0.000000,1.396226,4.000000
C,0.875000,0.135413,0.000000,4.000000,0.000000,1.864078,2.000000
C,0.500000,0.137671,0.000000,2.000000,0.000000,1.833846,4.000000
C,0.555556,0.095802,0.000000,4.000000,0.000000,1.870725,6.000000
C,0.893617,0.117236,1.000000,2.000000,0.123737,1.235034,2.000000
C,0.403226,0.217481,0.000000,2.000000,0.000000,1.024065,0.000000
C,0.964286,0.127861,1.000000,2.000000,0.328524,1.012308,0.000000
C,0.825581,0.118967,1.000000,4.000000,0.130873,1.244295,2.000000
C,0.394737,0.155856,0.000000,2.000000,0.000000,1.508891,8.000000
C,1.494382,0.104486,1.000000,4.000000,0.031629,1.793245,4.000000
C,0.846154,0.143384,1.000000,2.000000,0.273810,1.005381,0.000000
C,0.704225,0.122031,0.000000,2.000000,0.000000,2.231537,4.000000
C,0.930556,0.110623,1.000000,4.000000,0.640717,1.007685,0.000000
C,0.624434,0.100025,2.000000,4.000000,0.207363,1.196346,4.000000
C,0.870370,0.143474,1.000000,2.000000,0.042670,1.124758,2.000000
C,0.744681,0.128430,0.000000,2.000000,0.000000,1.555556,4.000000
C,1.408696,0.083846,0.000000,6.000000,0.000000,1.830990,10.000000
C,0.692308,0.114345,0.000000,2.000000,0.000000,2.337224,6.000000
C,1.480000,0.118967,0.000000,6.000000,0.000000,1.690763,6.000000
C,0.884615,0.132601,1.000000,2.000000,0.050360,1.158974,2.000000
C,0.888889,0.148324,2.000000,2.000000,0.109091,1.052632,2.000000
C,0.747475,0.109068,1.000000,2.000000,0.556286,1.012417,0.000000
C,0.547445,0.121747,1.000000,4.000000,0.097212,1.198973,2.000000
C,0.363636,0.169967,0.000000,2.000000,0.000000,1.481481,2.000000
C,0.736842,0.127924,2.000000,2.000000,0.141243,1.099715,2.000000
C,0.562500,0.124113,0.000000,4.000000,0.000000,1.727800,4.000000
